,Project ID,Project Title,Budget,Country,Country Code,Link,Donors,VF or Non-VF,Output Count,Project Description
52,4685.0,Congo Micro-hydroelectricity,1944133.0,Congo,COG,https://co.pims.undp.org/project/view?id=4685,GEF,VF,2,
53,5543.0,A systemic approach for GHG emission,2640000.0,Jordan,JOR,PIMS+,GEF,VF,4,
54,139584.0,Scaling Up Sustainable Cooling in the Middle East (Cool Up),785000.0,Jordan,JOR,,,Non-VF,1,
55,114336.0,Mejor calidad de vida en El Seibo,650039.0,Dominican Republic,DOM,http://open.undp.org/projects/00114336,,Non-VF,4,
56,10414.0,GEF SGP 7th Operational Phase – Core (Part 2),20919834.0,Dominican Republic,DOM,https://www.thegef.org/projects-operations/projects/10414,GEF,Non-VF,6,
57,120430.0,Natural Resoure Management,2200000.0,Sierra Leone,SLE,https://estm.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_adf.ctrl-state=g7nug1kw3_1300&fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&_afrLoop=7211426784636750,Global Fund,Non-VF,2,
58,132037.0,"Shine Salone: Illuminating lives, Igniting futures",427152.0,Sierra Leone,SLE,https://estm.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_adf.ctrl-state=g7nug1kw3_5,Trac 2 Funds,Non-VF,4,
59,122410,Technical and Advisory Support to Electricty sector,7939225.0,Saudi Arabia,SAU,http://open.undp.org/projects/00122410,Gov. of Saudi Arabia,Non-VF,1,
60,127688.0,"ONU/21/001 Innovative Finance for Clean Tech Solutions in Uruguay´s Renewable Energy Sector: The Renewable Energy Innovation Fund (REIF)
",804250.0,Uruguay,URY,https://open.undp.org/projects/00137005,Joint SDG Fund,Non-VF,5,"The program seeks to decarbonize the industrial and transportation sectors, promote universal access to renewable energy sources, and increase innovation and competitiveness in the energy sector by reducing energy costs and increasing the participation of women in the clean energy economy."
61,101784.0,URU/17/G32 MOVÉS: Towards a sustainable and efficient urban mobility system in Uruguay,1720933.0,Uruguay,URY,https://www.undp.org/es/uruguay/proyectos/moves-hacia-un-sistema-de-movilidad-urbana-sostenible-y-eficiente-en-uruguay,Global Environment Fund Truste,VF,6,"The project aimed to empower relevant stakeholders in the urban transport sector to carry out a strategic transition to low-carbon passenger and freight mobility. It tested the effectiveness of a set of innovative policies and measures and launched a reform process to establish an enabling environment for urban transport policy innovation. It also facilitated the reform of the framework of urban transport regulations and incentives, focusing on public transport quality, the promotion of non-motorized transport modes, the adoption of electric vehicles in the public transport and urban distribution services sectors, cooperation between authorities, relevant stakeholders, and GHG emission control systems."
62,113203.0,NNWWTP PV Power Plant ,1600000.0,Cyprus,CYP,,,Non-VF,4,
63,129076,Project to support the energy transition in the context of the implementation of the NDC ,250000.0,Senegal,SEN,,,Non-VF,1,
64,122455,Off-grid Renewable Energy Solutions in Rural Suriname,753663.0,Suriname,SUR,https://open.undp.org/projects/00122455,,Non-VF,1,
65,112081.0,NAMA-Investing in Solar PV,982678.0,Gambia,GMB,http://open.undp.org/projects/00112081,,Non-VF,1,
66,109904.0,Sare Demba Toro,678110.0,Gambia,GMB,https://open.undp.org/projects/00109904,,Non-VF,4,
67,143659.0,"Nature, Climate, Energy, and Resilience Programme",1980000.0,Uganda,UGA,http://open.undp.org/projects/00143659,,Non-VF,5,
68,5574.0,NAMA Integrated Wastewater Treatment,2170030.0,Uganda,UGA,https://co.pims.undp.org/project/view?id=5574,,VF,3,
69,5711.0,"Building Resilient Communities, Wetland Ecosystems and Associated Catchments in Uganda",,Uganda,UGA,,,,1,
70,122398.0,Seventh Operational Phase of the GEF Small Grants Programme in Mexico,50000.0,Mexico,MEX,https://open.undp.org/projects/00128385,,Non-VF,9,
71,5299.0,Production of bio methane,2632300.0,Botswana,BWA,https://co.pims.undp.org/project/view?id=5299,GEF,VF,3,
72,1137180.0,Biogas National Roll Out Project,1535908.0,Botswana,BWA,,,Non-VF,4,
73,5831,Low Carbon Technologies and Green Development,1750172.0,Guyana,GUY,https://co.pims.undp.org/project/view?id=5831,GEF,VF,1,
74,116770.0,"Biogas, Biomass and Solar Trilateral Cooperation (Transitioning to Sustainable Energy Uses in the Agro-Industry)",-1.0,Ethiopia,ETH,http://open.undp.org/projects/00120660,"(1) MOFCOM: 1,000,000
(2) Co-financing: 1,042,396",VF,8,
