,Country Code,Electricity access,Clean cooking,Energy efficiency,Renewable energy,Overall
91,GRL,0.0,,563.67,7102.241999999999,2555.3039999999996
92,GTM,496432.83946839,8446024.833,163619.0016053161,10607263.1236,4928334.949418427
93,GUM,0.0,,1692.31,5110.7762,2267.6954
94,GUY,59466.943581948035,642544.8119999999,7377.3505641805195,90482.427,199967.88328653213
95,HIC,144528.47876944006,1237909882.6226444,12407564.265212307,,416820658.4555421
96,HKG,0.0,,74810.0,17206.3,30672.100000000002
97,HND,687600.6307042437,4888811.529,94341.62369295755,4651962.2748,2580679.0145493
98,HPC,448779413.769305,113594517.73132105,3892872.3623069506,,188755601.28764436
99,HRV,0.0,4047680.0,40476.8,1279066.88,1341805.92
100,HTI,6001024.332710948,508806.045,53057.76667289053,8638395.964000002,3800321.02709596
101,HUN,0.0,9750149.0,97501.49,1329920.3236,2794392.7034
102,IBD,59842671.15485904,3861455804.025833,48299184.94845141,,1323199220.043048
103,IBT,733463048.4641125,4283408935.037233,58946049.24535888,,1691939344.2489014
104,IDA,674116495.5737394,423994412.7916715,10641903.114262605,,369584270.49322444
105,IDB,187280564.80043095,197270090.4227602,3953565.6219956903,,129501406.94839561
106,IDN,8291676.376668087,229719984.65,2635662.936233319,51897686.473000005,73136252.60897535
107,IDX,486895918.1790912,226638750.4123967,6687737.618209088,,240074135.40323234
108,IMN,0.0,,840.46,1596.874,812.4446666666666
109,IND,13963871.27,948146859.233,13824232.5573,459830280.9211,358941310.99535
110,INX,,,,,0.0
111,IRL,0.0,4985382.0,49853.82,615196.1388000001,1412607.9897
112,IRN,0.0,83885875.47299999,872901.93,855443.8914,21403555.323599998
113,IRQ,0.0,42131414.16,425569.84,182995.0312,10684994.7578
114,ISL,0.0,366463.0,3664.63,297091.55409999995,166804.796025
115,ISR,0.0,9215100.0,92151.0,411914.97,2429791.4925
116,ITA,0.0,59438851.0,594388.51,10265089.5677,17574582.269425
117,JAM,0.0,2332500.572,28204.36,256377.63239999997,654270.6411
118,JOR,10928.553790568998,10917792.279000001,109177.9244620943,892876.5057,2982693.815738166
119,JPN,0.0,126261000.0,1262610.0,9709470.9,34308270.225
120,KAZ,0.0,17386502.382,187556.66,318846.322,4473226.341
121,KEN,14848208.375423498,10137227.1,371375.71624576504,35391919.024000004,15187182.553917319
122,KGZ,1246.984484579565,5040203.399999999,65786.5301551542,1834476.12,1735428.2586599332
123,KHM,2229972.7091280427,6034044.48,141668.87290871958,8749364.496,4288762.63950919
124,KIR,10163.795963591503,12519.837,1162.992040364085,51887.7689,18933.598475988896
125,KNA,0.0,47642.0,476.42,752.7436,12217.7909
126,KOR,0.0,51836239.0,518362.39,1741697.6304,13524074.7551
127,KWT,0.0,4360444.0,43604.44,2616.2664,1101666.1766000001
128,LAC,9508682.779731328,517271894.1685592,5792996.9722026875,,177524524.6401644
129,LAO,0.0,622148.915,73193.99,3544784.9357,1060031.960175
130,LBN,0.0,,56629.23,309195.5958,121941.60859999999
131,LBR,3686732.5031549083,20350.336,14008.514968450912,4438408.281599999,2039874.9089308397
132,LBY,2015655.2494767744,,46382.867505232265,186310.376,749449.4976606689
133,LCA,0.0,169020.49099999998,1792.37,17475.6075,47072.11712499999
134,LCN,9650464.403021244,577175218.8546157,6408845.0259697875,,197744842.76120222
135,LDC,487374317.1586669,184471475.13441205,5863691.32841333,,225903161.20716408
136,LIC,409938907.8841452,73995112.6123443,2892476.301158548,,162275498.93254936
137,LIE,0.0,,387.56,21753.742800000004,7380.434266666668
138,LKA,0.0,7057918.000000001,219190.0,10939772.9,4554220.225000001
139,LMC,332817895.08252406,1988473216.4693556,30243002.39917476,,783844704.6503515
140,LMY,745667714.3249048,4185186248.028974,58059224.01675095,,1662971062.1235435
141,LSO,1186721.94559037,903894.1,10673.780544096298,889693.27,747745.7740336165
142,LTE,12467989.841687612,1895881925.9433322,23048093.211583123,,643799336.332201
143,LTU,0.0,2794885.0,27948.85,937124.9405,939989.697625
144,LUX,0.0,630419.0,6304.19,103703.92549999998,185106.778875
